lead_id,age,annual_income,website_visits,prior_purchases,support_tickets,region,channel,loyalty_segment,qualified
L1179,41,77995,6,2,2,north,event,silver,0
L1180,58,44282,5,1,2,east,referral,bronze,1
L1181,27,102408,18,3,0,north,referral,silver,1
L1182,40,135962,9,1,1,north,referral,silver,0
L1183,48,125688,9,2,0,south,referral,silver,1
L1184,40,61600,9,1,1,south,web,bronze,1
L1185,38,81020,14,4,0,north,event,gold,1
L1186,27,89349,8,3,1,north,referral,silver,1
L1187,36,58766,10,5,5,north,referral,bronze,0
L1188,30,61018,11,1,1,north,email,bronze,1
L1189,33,57559,9,4,1,west,web,silver,1
L1190,48,139414,11,2,0,west,web,bronze,1
L1191,46,112569,7,1,0,south,email,bronze,1
L1192,45,122812,13,3,1,south,web,bronze,1
L1193,35,120189,14,2,0,east,referral,bronze,0
L1194,59,135587,9,2,0,east,event,silver,1
L1195,24,43370,11,3,2,north,web,silver,1
L1196,34,127216,5,1,1,north,email,bronze,1
L1197,25,39188,14,2,0,south,referral,silver,1
L1198,34,83345,8,1,2,east,web,bronze,1
L1199,59,96198,6,4,1,north,event,bronze,1
L1200,35,70648,12,2,1,south,email,bronze,1
L1201,57,47786,7,1,1,south,web,silver,1
L1202,40,52768,5,4,2,north,web,gold,0
L1203,48,121063,11,4,0,south,event,silver,1
L1204,39,66422,12,3,0,east,web,bronze,0
L1205,31,65516,9,5,1,south,referral,bronze,1
L1206,51,131723,5,4,2,north,web,bronze,1
L1207,59,47538,6,3,2,north,web,gold,0
L1208,31,130848,13,0,1,west,event,bronze,1
L1209,52,131464,11,4,1,south,web,gold,1
L1210,31,96644,6,1,2,north,web,silver,1
L1211,49,49877,18,2,2,north,email,silver,1
L1212,52,48832,10,0,1,west,event,gold,0
L1213,38,62749,11,2,0,east,web,bronze,1
L1214,50,94360,13,1,0,west,web,silver,1
L1215,31,48590,7,2,0,east,event,bronze,1
L1216,24,81211,10,0,2,south,referral,gold,1
L1217,24,44472,12,1,1,south,event,silver,1
L1218,38,90350,9,1,0,north,referral,bronze,0
L1219,57,34283,8,2,0,east,referral,gold,1
L1220,26,108575,12,2,1,east,email,bronze,0
L1221,39,37982,9,0,1,north,web,bronze,1
L1222,49,53040,12,2,2,west,referral,silver,1
L1223,29,50861,5,5,0,south,referral,silver,1
L1224,49,121747,9,5,2,north,event,gold,1
L1225,33,37765,12,4,0,south,referral,silver,1
L1226,53,78360,4,0,0,west,web,silver,1
L1227,44,95843,10,0,2,west,email,bronze,1
L1228,42,87727,10,1,2,south,referral,bronze,1
L1229,28,105517,12,3,0,west,email,gold,1
L1230,39,118734,14,1,0,west,referral,bronze,1
L1231,55,74512,14,2,1,west,referral,silver,1
L1232,21,121447,17,2,1,west,web,bronze,1
L1233,51,66343,11,3,2,south,referral,bronze,1
L1234,40,138317,14,0,1,east,referral,silver,1
L1235,49,86488,11,1,1,east,event,silver,1
L1236,47,111489,14,2,0,east,email,silver,1
L1237,38,126500,7,0,0,north,referral,gold,1
L1238,33,117606,12,1,1,east,email,bronze,1
L1239,46,123922,10,1,0,west,email,silver,1
L1240,26,89943,9,2,2,south,web,bronze,0
L1241,44,36695,13,0,1,west,event,silver,0
L1242,24,85253,11,1,1,south,event,bronze,1
L1243,46,51601,8,2,0,north,referral,silver,1
L1244,46,128024,14,1,1,north,referral,bronze,1
L1245,24,57568,10,2,1,west,web,gold,1
L1246,51,56631,8,2,0,east,referral,gold,1
L1247,37,58933,9,1,2,south,email,gold,1
L1248,52,101397,16,5,1,east,referral,bronze,1
L1249,22,93693,8,2,0,south,web,gold,0
L1250,28,134474,12,1,2,south,referral,bronze,1
L1251,40,76956,8,2,1,west,web,bronze,1
L1252,28,62486,6,1,1,east,referral,bronze,1
L1253,34,37319,7,2,0,east,referral,bronze,0
L1254,47,32764,7,0,1,east,web,silver,0
L1255,26,72350,9,2,1,west,email,bronze,0
L1256,48,131988,12,4,4,north,event,bronze,0
L1257,25,88565,11,4,1,north,referral,silver,1
L1258,28,128503,6,4,0,north,web,gold,1
L1259,44,42980,13,0,2,east,email,silver,1
L1260,52,42078,6,2,0,east,web,silver,1
L1261,27,122013,12,1,1,east,referral,bronze,1
L1262,32,43528,7,2,0,south,referral,gold,1
L1263,58,37611,10,2,3,north,web,bronze,1
L1264,60,75642,12,2,1,east,referral,bronze,1
L1265,44,131882,9,0,0,west,referral,bronze,1
L1266,38,106453,11,0,2,south,referral,silver,1
L1267,34,42704,10,0,1,north,web,bronze,1
L1268,45,122410,10,3,2,south,web,silver,1
L1269,44,123106,8,3,3,south,email,bronze,1
L1270,32,118475,6,3,1,north,web,silver,1
L1271,21,129486,16,0,1,south,email,silver,1
L1272,27,57906,10,3,1,east,web,bronze,1
L1273,59,137793,9,2,0,south,web,bronze,1
L1274,37,66635,12,1,1,south,referral,silver,1
L1275,40,118618,11,5,0,north,web,silver,1
L1276,39,94571,12,2,1,west,referral,bronze,0
L1277,52,116183,11,1,0,south,web,silver,1
L1278,23,99804,8,0,1,south,referral,bronze,1
L1279,24,101388,10,3,0,north,email,bronze,1
L1280,32,98558,12,1,0,east,referral,bronze,1
L1281,40,116131,4,2,1,west,referral,silver,1
L1282,47,111816,6,0,0,north,email,bronze,1
L1283,40,46531,9,0,2,north,referral,silver,1
L1284,38,121213,10,2,0,north,web,bronze,1
L1285,58,89895,7,0,2,east,referral,silver,1
L1286,27,66893,7,1,1,west,web,bronze,1
L1287,43,87536,14,6,3,south,email,silver,1
L1288,42,136434,7,0,0,south,web,silver,1
L1289,39,124617,6,1,0,east,event,bronze,1
L1290,53,122039,12,4,0,east,email,bronze,1
L1291,31,81982,7,2,0,north,referral,silver,1
L1292,59,116686,14,3,1,north,email,gold,1
L1293,34,73589,7,2,1,south,web,gold,1
L1294,42,106105,7,1,0,east,web,bronze,0
L1295,41,101072,14,0,2,east,event,silver,1
L1296,54,58978,5,1,1,east,referral,bronze,0
L1297,38,60778,13,1,0,west,web,bronze,1
L1298,32,38602,7,2,1,north,referral,silver,1
L1299,21,47094,4,0,1,south,email,silver,0
L1300,35,78830,9,2,2,north,web,silver,0
L1301,54,83610,10,3,0,west,email,gold,1
L1302,21,49833,7,1,1,east,web,bronze,1
L1303,56,77024,10,1,2,south,web,silver,1
L1304,42,97251,7,3,0,north,referral,bronze,1
L1305,26,57117,12,1,1,east,web,bronze,1
L1306,33,68529,9,1,1,east,event,bronze,1
L1307,43,71691,10,3,0,east,referral,gold,1
L1308,33,86545,10,1,1,north,event,silver,1
L1309,25,71570,9,4,1,west,referral,bronze,1
L1310,47,111590,11,1,4,east,event,silver,0
L1311,47,67369,11,1,1,east,email,gold,1
L1312,25,78860,11,2,0,east,referral,gold,1
L1313,32,72982,5,0,1,west,email,silver,0
L1314,30,51754,9,0,0,west,event,bronze,0
L1315,47,106060,4,2,1,east,web,silver,1
L1316,50,57428,9,2,1,south,referral,gold,1
L1317,50,64062,13,1,0,south,referral,gold,1
L1318,58,117617,16,1,1,west,email,gold,1
L1319,51,134476,11,0,2,east,event,silver,0
